"endorsement_count","name","perfil_id"
"1","Inteligência de mercado",39
"1","Competitive Analysis",39
"1","Dashboard",39
"1","Information Management",39
"1","Data Analysis",39
"1","Marketing digital",39
"1","Operating Systems",39
"9","Microsoft Word",39
"1","Business Intelligence",39
"","VBA",39
"","Negociação",39
"","Marketing",39
"","Consultoria",39
"","Análises",39
"","Consultoria de gestão",39
"","Capacidade analítica",39
"","Planejamento de projetos",39
"","Empreendedorismo",39
"","Análises de mercado",39
"","Estratégia",39
"21","JavaScript",40
"","",40
"","",40
"6","Angular",40
"","",40
"12","jQuery",40
"","",40
"","",40
"13","HTML",40
"13","CSS",40
"9","AJAX",40
"5","Ruby on Rails",40
"7","User Interfaces",40
"12","Linux",40
"6","Python",40
"7","Programming",40
"6","Programação de computadores",40
"3","PHP",40
"2","Node.js",40
"","Arquitetura de software",40
"3","Scrum",40
"","SEO (Otimização de motores de busca)",40
"2","Git",40
"1","SASS",40
"","Chrome Developer Tools",40
"","Compatibilidade cross-browser",40
"","Design de interação",40
"","Microsoft Excel",42
"","",42
"","Customer Service",42
"","",42
"","Leadership",42
"","",42
"","Microsoft Word",42
"","Microsoft Office",42
"","Research",42
"","Microsoft PowerPoint",42
"","Public Speaking",42
"","Social Media",42
"","Marketing",42
"","SAP ERP",42
"5","Finanças",43
"","",43
"4","Contabilidade",43
"","",43
"3","Microsoft Windows",43
"","",43
"2","Microsoft Excel",43
"2","Microsoft Word",43
"2","Microsoft PowerPoint",43
"1","Microsoft Office",43
"1","Auditoria",43
"1","Management",43
"1","Negociação",43
"1","Microsoft Project",43
"1","Negotiation",43
"1","Customer Service",43
"1","Leadership",43
"1","Research",43
"1","Windows",43
"1","Pesquisa",43
"1","Atendimento ao Cliente",43
"1","Gestão",43
"1","Inglês",43
"1","Liderança",43
"1","Profissional competente, comunicativo e proativo.",43
"1","Bom relacionamento para trabalhar em equipe.",43
"1","Inglês Intermediário",43
"2","Go",44
"","",44
"1","Google Cloud Platform",44
"","",44
"24","MySQL",44
"","",44
"","",44
"1","Ceph",44
"26","Linux",44
"1","Redis",44
"1","Nginx",44
"19","Scrum",44
"3","Scalability",44
"4","Problem Solving",44
"21","JavaScript",44
"23","PHP",44
"4","Software Engineering",44
"13","Web Development",44
"4","Ruby",44
"1","Amazon Web Services (AWS)",44
"","Lua",44
"5","Social Web",44
"5","Team Management",44
"4","Python",44
"6","Performance Tuning",44
"3","CSS",44
"4","Git",44
"3","Java",44
"3","Software Development",44
"","Kubernetes",44
"1","HTML 5",44
"2","Varnish Cache",44
"2","Google Analytics",44
"1","Product Management",44
"1","System Architecture",44
"1","Development Management",44
"7","Facebook API",44
"1","DevOps",44
"1","Social Networking",44
"1","Shell Scripting",44
"1","User Experience",44
"7","OpenSocial",44
"","Music Theory",44
"","SEO",44
"8","jQuery",44
"2","AJAX",44
"1","HTML5",44
"","SQL",44
"","HTML",44
"","Operating Systems",44
"","IT Service Management",44
"1","JavaScript",45
"","",45
"2","PHP",45
"","",45
"","",45
"1","HTML",45
"","",45
"1","MySQL",45
"","Python",45
"","Java",45
"","CSS",45
"","C++",45
"3","Desenvolvimento de software",45
"","Software Development",45
"","Web Development",45
"","Hardware Installation",45
"2","Scrum",45
"","Git",46
"","",46
"","Scrum",46
"","",46
"","Web Development",46
"","",46
"","HTML",46
"","CSS",46
"","JavaScript",46
"","Software Development",46
"","MySQL",46
"","PHP",46
"4","Psychological Assessment",47
"","",47
"4","Psychometrics",47
"","",47
"3","Research",47
"","",47
"","Recruitments",47
"6","Microsoft Excel",47
"5","Microsoft Word",47
"","PowerPoint",47
"","English",47
"","Negotiation",47
"1","Liderança de equipe",47
"2","Microsoft Office",47
"1","Português",47
"","Strategic Planning",47
"3","Microsoft PowerPoint",47
"3","Inglês",47
"1","Planejamento estratégico",47
"1","Estratégia empresarial",47
"1","Human Resources",47
"36","Interaction Design",49
"","",49
"","",49
"27","User Experience",49
"","",49
"22","Design da Experiência do Usuário",49
"","",49
"21","User Interface Design",49
"20","Information Architecture",49
"20","Layout",49
"20","Design de interação",49
"19","Design de interface do usuário",49
"18","User-centered Design",49
"16","Arquitetura de informação",49
"16","Experiência do usuário",49
"14","Web design",49
"11","User Experience Design",49
"11","Marketing digital",49
"11","Adobe Photoshop",49
"10","Usability",49
"10","Adobe Illustrator",49
"10","Design gráfico",49
"8","Web Design",49
"8","Photoshop",49
"6","Design Thinking",49
"6","Axure",49
"6","Graphic Design",49
"6","Layout gráfico",49
"5","Experience Design",49
"4","Design de experiência",49
"","Usabilidade",49
"2","Digital Marketing",49
"","Design thinking",49
"1","ActionScript",49
"1","Accessibility",49
"1","Illustrator",49
"1","mobile application design",49
"1","Design voltado para o usuário",49
"","Responsiveness",49
"","Web Application Design",49
"60","Marketing digital",50
"","",50
"","",50
"49","Marketing de motor de busca",50
"","",50
"43","Marketing",50
"","",50
"","",50
"35","Publicidade online",50
"34","Estratégias de marketing",50
"29","Digital Marketing",50
"21","Marketing por e-mail",50
"17","Marketing social",50
"16","Online Advertising",50
"14","Social Media Marketing",50
"13","Marketing Strategy",50
"12","Google Analytics",50
"11","Digital Media",50
"11","Digital Strategy",50
"11","Estratégia digital",50
"10","Email Marketing",50
"9","Mídias sociais",50
"9","Comércio eletrônico",50
"8","Mídia digital",50
"7","Facebook",50
"5","Social Media",50
"5","CRM",50
"5","Google AdWords",50
"5","Comunicações de marketing",50
"4","Google Adwords",50
"4","SEM",50
"4","Advertising",50
"4","Análise de rede",50
"4","SEO (Otimização de motores de busca)",50
"4","Gestão de relação de clientes",50
"3","Web Analytics",50
"3","E-commerce",50
"3","Mobile Marketing",50
"3","Media Planning",50
"3","Marketing para dispositivos móveis",50
"3","Planejamento de mídia",50
"3","Publicidade",50
"2","SEO",50
"2","Marketing Communications",50
"1","Trade Marketing",50
"25","Team Leadership",51
"","",51
"","",51
"23","Sales Operations",51
"","",51
"","",51
"21","Sales Management",51
"","",51
"","",51
"16","Trade Marketing",51
"16","Strategic Planning",51
"12","PDCA",51
"11","Portuguese",51
"11","Pricing Strategy",51
"10","English",51
"8","Supply Chain",51
"3","Spanish",51
"27","Optimization Strategies",52
"","",52
"42","SEO",52
"","",52
"65","Google Analytics",52
"","",52
"","",52
"18","Usability Testing",52
"19","Conversion Optimization",52
"23","Usability",52
"30","Digital Marketing",52
"13","Information Architecture",52
"17","Web Analytics",52
"16","Digital Advertising",52
"5","Inbound Marketing",52
"6","Digital Strategy",52
"19","jQuery",52
"38","CSS",52
"24","WordPress",52
"11","HTML 5",52
"14","PHP",52
"6","CSS3",52
"7","Google Adwords",52
"4","Semantic HTML",52
"5","Mobile Devices",52
"8","Wireframes",52
"4","PPC",52
"4","SEM",52
"3","Landing Page Optimization",52
"9","JavaScript",52
"3","E-commerce Optimization",52
"3","E-commerce Consulting",52
"7","Online Advertising",52
"9","Social Media Marketing",52
"3","Social Media Advertising",52
"6","Online Marketing",52
"3","Digital Media Services",52
"2","Accessibility",52
"2","Sitemap",52
"2","Web Standards",52
"5","Social Media",52
"33","SEO (Otimização de motores de busca)",52
"39","Marketing digital",52
"9","Marketing de motor de busca",52
"21","JQuery",52
"12","Marketing online",52
"12","Mídias sociais",52
"9","Marketing social",52
"8","Arquitetura de informação",52
"12","Publicidade online",52
"7","Análise de rede",52
"4","Usabilidade",52
"6","Estratégia digital",52
"7","HTML5",52
"9","Copywriting",53
"","",53
"","",53
"20","Social Media",53
"","",53
"","",53
"17","Digital Marketing",53
"","",53
"","",53
"10","Art Direction",53
"22","Mídias sociais",53
"13","Comunicações de marketing",53
"12","Publicidade",53
"19","Marketing digital",53
"16","Estratégias de marketing",53
"9","Publicidade online",53
"11","Redação",53
"3","Video Production",53
"14","Adobe Photoshop",53
"5","Inglês",53
"7","Planejamento estratégico",53
"4","Gestão",53
"7","Adobe Illustrator",53
"3","Photoshop",53
"5","Marketing social",53
"8","Marketing",53
"7","Microsoft Office",53
"3","Microsoft Excel",53
"14","Business Planning",54
"","",54
"","",54
"12","Marketing digital",54
"","",54
"12","Estratégias de marketing",54
"","",54
"7","Publicidade online",54
"7","Business Strategy",54
